Název položky;Popis / Poznámky;Referenční meze / Norma (Cíl výkonu)
Zajištění dýchacích cest (Basic);Záklon hlavy, předsunutí čelisti, vzduchovod (ústní/nosní).;Průchodné dýchací cesty.
Zajištění dýchacích cest (Advanced);Endotracheální intubace (ETI), Laryngeální maska (LMA/iGel), Koniotomie.;Definitivní zajištění DC, EtCO2 35–45 mmHg.
Oxygenoterapie;Nosní brýle, polomaska, maska s rezervoárem (Non-rebreathing).;Cílová SpO2 94–98 % (u CHOPN 88–92 %).
Umělá plicní ventilace (UPV);Ambuvak, transportní ventilátor (CMV, CPAP).;Normoventilace, adekvátní objem hrudníku.
KPR (Resuscitace);Komprese hrudníku, defibrilace (AED/Manuální), podání léků.;Kvalitní komprese (hloubka 5-6 cm, frekvence 100-120/min).
Zajištění cévního vstupu;Periferní žilní katetr (PŽK), Intraoseální vstup (IO).;Funkční linka pro podání léků/tekutin.
Zástava masivního krvácení;Tlakový obvaz, Tourniquet (škrtidlo), Packing (vycpání rány), Pánevní pás.;Zástava zevního krvácení.
Imobilizace;Krční límec, vakuová matrace, dlaha, vyprošťovací rám (KED), Scoop rám.;Stabilizace páteře/končetiny, prevence sekundárního poškození.
Dekomprese hrudníku;Punkční jehla / Thorakostomie (při tenzním pneumotoraxu).;Úleva dušnosti, obnova hemodynamiky.
Elektrická terapie;Kardioverze (synchr.), Externí kardiostimulace (pacing).;Obnova sinusového rytmu / adekvátní frekvence.
Výplach žaludku;Při perorálních intoxikacích (specifické indikace).;Odstranění noxy.
Katetrizace močového měchýře;Permanentní močový katetr (PMK).;Monitoring diurézy (u šoku/traumat).